"list_date","list_age","list_gender","list_death"
2020-04-28,"90 - 99","F",3
2020-04-28,"90 - 99","M",2
2020-04-29,"10 - 19","F",1
2020-04-29,"20 - 29","M",1
2020-04-29,"40 - 49","F",1
2020-04-29,"50 - 59","M",2
2020-04-29,"60 - 69","F",2
2020-04-29,"60 - 69","M",1
2020-04-29,"70 - 79","F",1
2020-04-29,"70 - 79","M",4
2020-04-29,"80 - 89","F",1
2020-04-29,"80 - 89","M",2
2020-04-29,"90 - 99","F",1
