"state_code.x","state","uf","mesorregiao_code","mesorregiao","microrregiao_code","microrregiao","RM","municipio_code","municipio","city_without_symbol","city","year","month","number_deaths"
31,"MG","Minas Gerais","07","Metropolitana de Belo Horizonte","030","Belo Horizonte","RM BH",3106200,"Belo Horizonte","belo horizonte","Belo Horizonte",2020,6,1492
15,"PA","Pará","03","Metropolitana de Belém","007","Belém","RM Belém",1501402,"Belém","belem","Belém",2019,1,903
15,"PA","Pará","03","Metropolitana de Belém","007","Belém","RM Belém",1501402,"Belém","belem","Belém",2019,2,880
15,"PA","Pará","03","Metropolitana de Belém","007","Belém","RM Belém",1501402,"Belém","belem","Belém",2019,3,885
15,"PA","Pará","03","Metropolitana de Belém","007","Belém","RM Belém",1501402,"Belém","belem","Belém",2019,4,860
15,"PA","Pará","03","Metropolitana de Belém","007","Belém","RM Belém",1501402,"Belém","belem","Belém",2019,5,1020
15,"PA","Pará","03","Metropolitana de Belém","007","Belém","RM Belém",1501402,"Belém","belem","Belém",2019,6,410
15,"PA","Pará","03","Metropolitana de Belém","007","Belém","RM Belém",1501402,"Belém","belem","Belém",2019,7,791
15,"PA","Pará","03","Metropolitana de Belém","007","Belém","RM Belém",1501402,"Belém","belem","Belém",2019,8,899
15,"PA","Pará","03","Metropolitana de Belém","007","Belém","RM Belém",1501402,"Belém","belem","Belém",2019,9,868
15,"PA","Pará","03","Metropolitana de Belém","007","Belém","RM Belém",1501402,"Belém","belem","Belém",2019,10,815
15,"PA","Pará","03","Metropolitana de Belém","007","Belém","RM Belém",1501402,"Belém","belem","Belém",2019,11,751
15,"PA","Pará","03","Metropolitana de Belém","007","Belém","RM Belém",1501402,"Belém","belem","Belém",2019,12,906
15,"PA","Pará","03","Metropolitana de Belém","007","Belém","RM Belém",1501402,"Belém","belem","Belém",2020,1,890
15,"PA","Pará","03","Metropolitana de Belém","007","Belém","RM Belém",1501402,"Belém","belem","Belém",2020,2,782
15,"PA","Pará","03","Metropolitana de Belém","007","Belém","RM Belém",1501402,"Belém","belem","Belém",2020,3,1019
15,"PA","Pará","03","Metropolitana de Belém","007","Belém","RM Belém",1501402,"Belém","belem","Belém",2020,4,1689
15,"PA","Pará","03","Metropolitana de Belém","007","Belém","RM Belém",1501402,"Belém","belem","Belém",2020,5,2786
15,"PA","Pará","03","Metropolitana de Belém","007","Belém","RM Belém",1501402,"Belém","belem","Belém",2020,6,1220
25,"PB","Paraíba","04","Mata Paraibana","022","João Pessoa","RM João Pessoa",2507507,"João Pessoa","joao pessoa","Joao Pessoa",2019,1,505
25,"PB","Paraíba","04","Mata Paraibana","022","João Pessoa","RM João Pessoa",2507507,"João Pessoa","joao pessoa","Joao Pessoa",2019,2,452
25,"PB","Paraíba","04","Mata Paraibana","022","João Pessoa","RM João Pessoa",2507507,"João Pessoa","joao pessoa","Joao Pessoa",2019,3,488
25,"PB","Paraíba","04","Mata Paraibana","022","João Pessoa","RM João Pessoa",2507507,"João Pessoa","joao pessoa","Joao Pessoa",2019,4,510
25,"PB","Paraíba","04","Mata Paraibana","022","João Pessoa","RM João Pessoa",2507507,"João Pessoa","joao pessoa","Joao Pessoa",2019,5,542
25,"PB","Paraíba","04","Mata Paraibana","022","João Pessoa","RM João Pessoa",2507507,"João Pessoa","joao pessoa","Joao Pessoa",2019,6,444
25,"PB","Paraíba","04","Mata Paraibana","022","João Pessoa","RM João Pessoa",2507507,"João Pessoa","joao pessoa","Joao Pessoa",2019,7,565
25,"PB","Paraíba","04","Mata Paraibana","022","João Pessoa","RM João Pessoa",2507507,"João Pessoa","joao pessoa","Joao Pessoa",2019,8,508
25,"PB","Paraíba","04","Mata Paraibana","022","João Pessoa","RM João Pessoa",2507507,"João Pessoa","joao pessoa","Joao Pessoa",2019,9,434
25,"PB","Paraíba","04","Mata Paraibana","022","João Pessoa","RM João Pessoa",2507507,"João Pessoa","joao pessoa","Joao Pessoa",2019,10,490
25,"PB","Paraíba","04","Mata Paraibana","022","João Pessoa","RM João Pessoa",2507507,"João Pessoa","joao pessoa","Joao Pessoa",2019,11,439
25,"PB","Paraíba","04","Mata Paraibana","022","João Pessoa","RM João Pessoa",2507507,"João Pessoa","joao pessoa","Joao Pessoa",2019,12,394
25,"PB","Paraíba","04","Mata Paraibana","022","João Pessoa","RM João Pessoa",2507507,"João Pessoa","joao pessoa","Joao Pessoa",2020,1,432
25,"PB","Paraíba","04","Mata Paraibana","022","João Pessoa","RM João Pessoa",2507507,"João Pessoa","joao pessoa","Joao Pessoa",2020,2,382
25,"PB","Paraíba","04","Mata Paraibana","022","João Pessoa","RM João Pessoa",2507507,"João Pessoa","joao pessoa","Joao Pessoa",2020,3,384
25,"PB","Paraíba","04","Mata Paraibana","022","João Pessoa","RM João Pessoa",2507507,"João Pessoa","joao pessoa","Joao Pessoa",2020,4,430
25,"PB","Paraíba","04","Mata Paraibana","022","João Pessoa","RM João Pessoa",2507507,"João Pessoa","joao pessoa","Joao Pessoa",2020,5,592
25,"PB","Paraíba","04","Mata Paraibana","022","João Pessoa","RM João Pessoa",2507507,"João Pessoa","joao pessoa","Joao Pessoa",2020,6,621
41,"PR","Paraná","10","Metropolitana de Curitiba","037","Curitiba","RM Curitiba",4106902,"Curitiba","curitiba","Curitiba",2019,1,946
41,"PR","Paraná","03","Norte Central Paranaense","011","Londrina","RM Londrina",4113700,"Londrina","londrina","Londrina",2019,1,299
41,"PR","Paraná","10","Metropolitana de Curitiba","037","Curitiba","RM Curitiba",4106902,"Curitiba","curitiba","Curitiba",2019,2,796
41,"PR","Paraná","03","Norte Central Paranaense","011","Londrina","RM Londrina",4113700,"Londrina","londrina","Londrina",2019,2,309
41,"PR","Paraná","10","Metropolitana de Curitiba","037","Curitiba","RM Curitiba",4106902,"Curitiba","curitiba","Curitiba",2019,3,964
41,"PR","Paraná","03","Norte Central Paranaense","011","Londrina","RM Londrina",4113700,"Londrina","londrina","Londrina",2019,3,296
41,"PR","Paraná","10","Metropolitana de Curitiba","037","Curitiba","RM Curitiba",4106902,"Curitiba","curitiba","Curitiba",2019,4,889
41,"PR","Paraná","03","Norte Central Paranaense","011","Londrina","RM Londrina",4113700,"Londrina","londrina","Londrina",2019,4,343
41,"PR","Paraná","10","Metropolitana de Curitiba","037","Curitiba","RM Curitiba",4106902,"Curitiba","curitiba","Curitiba",2019,5,965
41,"PR","Paraná","03","Norte Central Paranaense","011","Londrina","RM Londrina",4113700,"Londrina","londrina","Londrina",2019,5,373
41,"PR","Paraná","10","Metropolitana de Curitiba","037","Curitiba","RM Curitiba",4106902,"Curitiba","curitiba","Curitiba",2019,6,1041
41,"PR","Paraná","03","Norte Central Paranaense","011","Londrina","RM Londrina",4113700,"Londrina","londrina","Londrina",2019,6,301
