"rm","cidade","state","state_code","cod_ibge","capital","year","month","number_deaths"
"Goiania","Goiânia","GO",52,"5208707",1,2019,6,851
"Goiania","Goiânia","GO",52,"5208707",1,2019,7,986
"Goiania","Goiânia","GO",52,"5208707",1,2019,8,792
"Goiania","Goiânia","GO",52,"5208707",1,2019,9,837
"Goiania","Goiânia","GO",52,"5208707",1,2019,10,898
"Goiania","Goiânia","GO",52,"5208707",1,2019,11,887
"Goiania","Goiânia","GO",52,"5208707",1,2019,12,861
"Goiania","Goiânia","GO",52,"5208707",1,2020,1,908
"Goiania","Goiânia","GO",52,"5208707",1,2020,2,777
"Goiania","Goiânia","GO",52,"5208707",1,2020,3,795
"Goiania","Goiânia","GO",52,"5208707",1,2020,4,826
"Goiania","Goiânia","GO",52,"5208707",1,2020,5,895
"Goiania","Goiânia","GO",52,"5208707",1,2020,6,1022
"Belém","Belém","PA",15,"1501402",1,2019,1,903
"Belém","Belém","PA",15,"1501402",1,2019,2,880
"Belém","Belém","PA",15,"1501402",1,2019,3,885
"Belém","Belém","PA",15,"1501402",1,2019,4,860
"Belém","Belém","PA",15,"1501402",1,2019,5,1020
"Belém","Belém","PA",15,"1501402",1,2019,6,410
"Belém","Belém","PA",15,"1501402",1,2019,7,791
"Belém","Belém","PA",15,"1501402",1,2019,8,899
"Belém","Belém","PA",15,"1501402",1,2019,9,868
"Belém","Belém","PA",15,"1501402",1,2019,10,815
"Belém","Belém","PA",15,"1501402",1,2019,11,751
"Belém","Belém","PA",15,"1501402",1,2019,12,906
"Belém","Belém","PA",15,"1501402",1,2020,1,890
"Belém","Belém","PA",15,"1501402",1,2020,2,782
"Belém","Belém","PA",15,"1501402",1,2020,3,1019
"Belém","Belém","PA",15,"1501402",1,2020,4,1689
"Belém","Belém","PA",15,"1501402",1,2020,5,2786
"Belém","Belém","PA",15,"1501402",1,2020,6,1220
"Sorocaba","Sorocaba","SP",35,"3552205",1,2019,1,464
"Sorocaba","Sorocaba","SP",35,"3552205",1,2019,2,360
"Sorocaba","Sorocaba","SP",35,"3552205",1,2019,3,352
"Sorocaba","Sorocaba","SP",35,"3552205",1,2019,4,402
"Sorocaba","Sorocaba","SP",35,"3552205",1,2019,5,413
